Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base,Taker Buy Quote
2022-11-11,7.20900000,7.33900000,6.51300000,7.04400000,11210254.17000000,2022-11-11 23:59:59.999,77651501.14814000,226301,5380165.14000000,37283989.85919000
2022-11-12,7.04500000,7.07400000,6.15800000,6.28100000,15181553.03000000,2022-11-12 23:59:59.999,97643564.02154000,268378,7555938.94000000,48621376.16163000
2022-11-13,6.28000000,6.54500000,5.94000000,6.07800000,7288028.03000000,2022-11-13 23:59:59.999,45422401.31609000,159288,3541810.03000000,22117361.85412000
2022-11-14,6.07700000,6.43800000,5.69000000,6.29100000,12214030.16000000,2022-11-14 23:59:59.999,74288053.37186000,264243,5629853.19000000,34247073.30603000
2022-11-15,6.29100000,6.67200000,6.20700000,6.42100000,9028489.34000000,2022-11-15 23:59:59.999,58364458.60071000,162347,4496031.02000000,29075790.64564000
2022-11-16,6.42100000,6.56400000,6.07700000,6.17900000,6291977.07000000,2022-11-16 23:59:59.999,39562816.09355000,122221,2871753.73000000,18075889.77238000
2022-11-17,6.18000000,6.34200000,6.02900000,6.22500000,4888412.25000000,2022-11-17 23:59:59.999,30263489.00306000,100903,2410301.52000000,14930365.31250000
2022-11-18,6.22400000,6.44000000,6.06900000,6.18300000,5216596.13000000,2022-11-18 23:59:59.999,32627018.46391000,87798,2489228.53000000,15560647.20524000
2022-11-19,6.18400000,6.22000000,5.99000000,6.14600000,2913602.05000000,2022-11-19 23:59:59.999,17818230.55664000,55789,1426472.72000000,8726948.72497000
2022-11-20,6.14600000,6.25200000,5.70900000,5.76800000,4952741.60000000,2022-11-20 23:59:59.999,29792054.05031000,89931,2380574.00000000,14339974.87827000
2022-11-21,5.76700000,5.89600000,5.52800000,5.87600000,7858097.01000000,2022-11-21 23:59:59.999,45079333.64236000,142035,4038486.35000000,23171799.80561000
2022-11-22,5.87400000,6.48500000,5.83700000,6.42200000,11891787.33000000,2022-11-22 23:59:59.999,73312569.08168000,206660,6159877.44000000,37999087.24869000
2022-11-23,6.42300000,6.80900000,6.34300000,6.70700000,9877403.25000000,2022-11-23 23:59:59.999,64504866.00591000,174060,4905410.35000000,32052145.61022000
2022-11-24,6.70800000,6.97800000,6.58600000,6.83100000,6713104.24000000,2022-11-24 23:59:59.999,45421620.88419000,137507,3487081.95000000,23586414.27711000
