date,Open,High,Low,Close,Volume,Quote Asset Volume,Number of Trades,Taker Buy Base,Taker Buy Quote,SMA_5,SMA_20,EMA_12,RSI,MACD,Price_Change,Volatility,High_Low_Ratio,Volume_SMA,Upper_Shadow,Lower_Shadow,Body_Size,Support,Resistance,Price_Position
2022-11-06,8.664,8.772,8.094,8.101,5402107.02,45910250.4759,128195,2504878.27,21304222.36861,8.127199999999998,7.390799999999999,7.991985142454062,45.18010791891496,0.1082207804945643,-0.06487360036938694,0.08554485373040856,1.0837657524091922,6767901.042000001,0.10800000000000054,0.0070000000000014495,0.5629999999999988,5.69,9.47,0.19338624338624333
2022-11-07,8.101,9.261,7.895,8.956,11376076.89,97366046.73339,259312,5462708.95,46748663.22674,8.431000000000001,7.390799999999999,8.163383819400327,45.18010791891496,0.14787841472156593,0.10554252561412159,0.08554485373040856,1.1730208993033566,7585923.929000002,0.3049999999999997,0.2060000000000013,0.8549999999999986,5.69,9.47,0.19338624338624333
2022-11-08,8.956,9.47,6.578,7.708,36115113.39,301313110.23092,877883,17264667.57,144255408.23904,8.4286,7.390799999999999,8.084311888556552,45.18010791891496,0.10483068657006367,-0.139347923179991,0.08554485373040856,1.4396473092125266,10605146.710000003,0.5140000000000011,1.13,1.2479999999999993,5.69,9.47,0.19338624338624333
2022-11-09,7.708,7.9,5.775,6.231,23647479.31,159062051.39263,534761,11282005.51,76033943.53872,7.931800000000001,7.390799999999999,7.768752046863002,45.18010791891496,-0.01435390787385682,-0.19161909704203428,0.08554485373040856,1.367965367965368,12342156.312000003,0.19200000000000017,0.4559999999999995,1.4770000000000003,5.69,9.47,0.19338624338624333
2022-11-10,6.232,7.51,6.087,7.21,18632257.98,128075832.11045,394838,9541533.57,65643601.20622,7.6412,7.390799999999999,7.675151513512221,52.02909647779479,-0.045958415398682284,0.15711763761835984,0.08554485373040856,1.23377690159356,13357723.213000003,0.2999999999999998,0.14500000000000046,0.9779999999999998,5.69,9.47,0.19338624338624333
2022-11-11,7.209,7.339,6.513,7.044,11210254.17,77651501.14814,226301,5380165.14,37283989.85919,7.4298,7.390799999999999,7.57084874955557,49.582530507386,-0.07942991846596126,-0.0230235783633842,0.08554485373040856,1.1268232765238755,14099701.657000002,0.13000000000000078,0.5309999999999997,0.16500000000000004,5.69,9.47,0.19338624338624333
2022-11-12,7.045,7.074,6.158,6.281,15181553.03,97643564.02154,268378,7555938.94,48621376.16163,6.894800000000001,7.390799999999999,7.360096125994478,41.5534222665503,-0.15118879949139608,-0.10831913685406014,0.08554485373040856,1.1487495940240338,14784089.552000001,0.028999999999999915,0.12299999999999933,0.7640000000000002,5.69,9.47,0.19338624338624333
2022-11-13,6.28,6.545,5.94,6.078,7288028.03,45422401.31609,159288,3541810.03,22117361.85412,6.568800000000001,7.390799999999999,7.152591304678071,39.45283486011388,-0.2170875971243289,-0.03231969431619164,0.08554485373040856,1.1018518518518519,14711454.024,0.2649999999999997,0.1379999999999999,0.20199999999999996,5.69,9.47,0.19338624338624333
2022-11-14,6.077,6.438,5.69,6.291,12214030.16,74288053.37186,264243,5629853.19,34247073.30603,6.580800000000001,7.390799999999999,7.01425137807404,40.46981499513144,-0.25142726922758474,0.035044422507403805,0.08554485373040856,1.1314586994727591,14744206.668000001,0.14699999999999935,0.38699999999999957,0.2140000000000004,5.69,9.47,0.19338624338624333
2022-11-15,6.291,6.672,6.207,6.421,9028489.34,58364458.60071,162347,4496031.02,29075790.64564,6.423,7.390799999999999,6.919632557094736,42.273339043190994,-0.26638647356483336,0.02066444126529965,0.08554485373040856,1.0749154180763654,15009538.932000002,0.25099999999999945,0.08400000000000052,0.1299999999999999,5.69,9.47,0.19338624338624333
